record_id,study_hours,practice_score,accuracy,accuracy_pct,z_max_abs,if_label,if_score,outlier_flag,synthetic_ground_truth
1,6.411368057668482,78.68638019783398,0.99,99.0,0.37900888158984003,1,0.2347222209431744,False,False
2,4.596021456575331,77.06460320140778,0.99,99.0,1.0831187892474956,1,0.21272747840880135,False,False
3,7.013109114338717,89.89814584037781,0.99,99.0,0.8636668797410713,1,0.2088088657683188,False,False
4,7.269762367128139,98.63748354812915,0.99,99.0,1.6153416907609237,1,0.12746898876572932,False,False
5,3.3661024953173206,74.93195607409483,0.99,99.0,2.073727714870825,1,0.0627912825233432,False,False
6,4.242057665735871,76.37836174629834,0.99,99.0,1.3682104917076234,1,0.19321715849102955,False,False
7,6.172584544275836,93.6089084231615,0.99,99.0,1.1359558690752565,1,0.19310976385516815,False,False
8,5.573072500336164,73.25301714864952,0.99,99.0,0.8046188309673898,1,0.2260635896706002,False,False
9,2.7,96.0,0.48,48.0,6.181845693809403,-1,-0.1256948577267153,True,True
10,4.848390697775667,71.18888800929756,0.99,99.0,1.0013970870225648,1,0.19218721389847399,False,False
11,7.187187266064819,86.83961006302457,0.99,99.0,1.0038739797922052,1,0.2030827478295809,False,False
12,7.05001911282908,79.7116394275952,0.99,99.0,0.8933951586773506,1,0.21266353101187435,False,False
13,6.089141441707642,87.79201665117337,0.99,99.0,0.5814179786248163,1,0.2268119048704343,False,False
14,7.521775629406845,89.66878574177356,0.99,99.0,1.2733602057767985,1,0.1575189826079461,False,False
15,6.631137612040262,76.92167466834209,0.99,99.0,0.5560170333450327,1,0.2178859692513616,False,False
16,4.839955175107629,70.56650288271064,0.99,99.0,1.0607305160554517,1,0.1809118000678971,False,False
17,6.497813558511374,87.82647051268542,0.99,99.0,0.5847025457836501,1,0.22771596787667797,False,False
18,4.705508488880851,81.9164668334939,0.99,99.0,0.9949350675078757,1,0.21971237392941184,False,False
19,7.185907906764818,100.0,0.99,99.0,1.7452335691972722,1,0.1169103607177906,False,False
20,5.932600020168558,100.0,0.99,99.0,1.7452335691972722,1,0.08576531162205925,False,False
21,5.750435809213898,84.59592752420625,0.99,99.0,0.2767273308299073,1,0.2450843950316764,False,False
22,5.080745115054679,71.98787681807723,0.99,99.0,0.9252276161295636,1,0.19895084029485544,False,False
23,7.650430807209941,77.92393937273818,0.99,99.0,1.3769824536434754,1,0.10733761129925912,False,False
24,5.7913851992071175,83.85532754111195,0.99,99.0,0.20612420318182725,1,0.24430650887793903,False,False
25,5.421757440079805,74.90902156889787,0.99,99.0,0.6467480584349901,1,0.23207552339986753,False,False
26,5.52461970684089,78.02820028440468,0.99,99.0,0.34938945995381676,1,0.24752722006529876,False,False
27,6.7186174004970205,82.95818128869576,0.99,99.0,0.6264755448296173,1,0.23968195591307023,False,False
28,9.4,45.0,0.94,94.0,3.4980450012668154,-1,-0.10070561162762592,True,True
29,6.557189025654584,93.02625443352353,0.99,99.0,1.0804101022049997,1,0.20314063625422502,False,False
30,6.581608354060641,87.24517912951008,0.99,99.0,0.5292866793727649,1,0.2326512320268549,False,False
31,8.891224261175122,97.20323971735915,0.99,99.0,2.376349980342709,1,0.0041281289665157095,False,False
32,5.451339727880769,73.61521719161222,0.99,99.0,0.7700894541767083,1,0.22476667874657935,False,False
33,5.308472315753424,68.71861690133949,0.99,99.0,1.2368938063606216,1,0.13759927688035095,False,False
34,4.901406816865365,74.32631403872325,0.99,99.0,0.8371534263356354,1,0.2222383878494797,False,False
35,6.831572220476919,87.1745889661609,0.99,99.0,0.7174523135346172,1,0.23036348532127715,False,False
36,7.524112595173204,100.0,0.99,99.0,1.7452335691972722,1,0.08636555633936305,False,False
37,5.8461709321659185,83.24687323683654,0.99,99.0,0.17235243284722115,1,0.24440770764955216,False,False
38,4.865788756100587,83.68990835337293,0.99,99.0,0.8658411448101064,1,0.21563279629331966,False,False
39,4.886950358816827,74.16672047534301,0.99,99.0,0.8487970360586157,1,0.22301480446945388,False,False
40,6.878300263563347,80.06502688881875,0.99,99.0,0.755088302584644,1,0.22648491221114225,False,False
41,7.003393131124647,82.14438532733776,0.99,99.0,0.8558413725359301,1,0.22936630200575397,False,False
42,6.733258262212013,82.29897354402007,0.99,99.0,0.6382676780924902,1,0.24341683867862118,False,False
43,5.101561895160263,92.36317511566193,0.99,99.0,1.0171972007893326,1,0.16843923371988262,False,False
44,6.3134177861400715,79.49075907296987,0.99,99.0,0.30011716896511115,1,0.2422046485579007,False,False
45,6.157525842339983,89.46931420445415,0.99,99.0,0.7413186753049792,1,0.21780206287887427,False,False
46,6.295229605584168,78.866167291472,0.99,99.0,0.28546793225353284,1,0.24231685771956984,False,False
47,7.176428850230057,95.37265460487887,0.99,99.0,1.3040979155904673,1,0.17489717166024948,False,False
48,6.301853990845821,87.27182203208638,0.99,99.0,0.5318266095570061,1,0.2269145247370774,False,False
49,6.9165333101470585,86.94782687798713,0.99,99.0,0.785882199087271,1,0.2229169869906546,False,False
50,6.091231743810003,83.4094486479317,0.99,99.0,0.17235243284722115,1,0.2455965772508536,False,False
51,6.390311188231479,80.97349815851265,0.99,99.0,0.36204912776293363,1,0.2452332652477084,False,False
52,6.852239104882029,90.53111265502007,0.99,99.0,0.8425424037050564,1,0.21286652398642625,False,False
53,4.03283964319485,70.01337352239815,0.99,99.0,1.536720163530563,1,0.12307308828768448,False,False
54,5.568443857917643,72.98947059668463,0.99,99.0,0.8297433398444303,1,0.222880533216692,False,False
